target_observation_id,source_id,canonical_accession,laboratory_anchor,measurement_batch_id,source_analysis_unit_id,source_measurement_id,source_identifier,source_asset_id,source_worksheet,source_row,source_coordinate,author_quantity_type,author_numeric_value,author_value_state,rank_percentile_descending,measurement_batch_positive_protein_count,rank_target_eligible,common_rank_target_member
R3:PXD017052:Sheet1:218:EXP18102_X1068_A_MSB37242A,PXD017052_SEER_BROAD,Q9NQC3,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_3,PXD017052:Sheet1:218:EXP18102_X1068_A_MSB37242A,PXD017052:Sheet1:218:EXP18102_X1068_A_MSB37242A,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,supplementary_data_2_lfq,Sheet1,218,Sheet1!BQ218,LFQ_INTENSITY,55654000,POSITIVE_QUANTIFIED,0.43089430894308944,493,true,true
R3:PXD017052:Sheet1:218:EXP18102_X1108_A_MSB37282A,PXD017052_SEER_BROAD,Q9NQC3,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_1,PXD017052:Sheet1:218:EXP18102_X1108_A_MSB37282A,PXD017052:Sheet1:218:EXP18102_X1108_A_MSB37282A,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,supplementary_data_2_lfq,Sheet1,218,Sheet1!BR218,LFQ_INTENSITY,34302000,POSITIVE_QUANTIFIED,0.30837004405286345,455,true,true
R3:PXD017052:Sheet1:218:EXP18102_X1109_A_MSB37283A,PXD017052_SEER_BROAD,Q9NQC3,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_3,PXD017052:Sheet1:218:EXP18102_X1109_A_MSB37283A,PXD017052:Sheet1:218:EXP18102_X1109_A_MSB37283A,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,supplementary_data_2_lfq,Sheet1,218,Sheet1!BS218,LFQ_INTENSITY,31250000,POSITIVE_QUANTIFIED,0.29978118161925604,458,true,true
R3:PXD017052:Sheet1:218:EXP18102_X1110_B_MSB37284B,PXD017052_SEER_BROAD,Q9NQC3,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_2,PXD017052:Sheet1:218:EXP18102_X1110_B_MSB37284B,PXD017052:Sheet1:218:EXP18102_X1110_B_MSB37284B,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,supplementary_data_2_lfq,Sheet1,218,Sheet1!BT218,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:218:EXP18102_X1114_A_MSB37288A,PXD017052_SEER_BROAD,Q9NQC3,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_3,PXD017052:Sheet1:218:EXP18102_X1114_A_MSB37288A,PXD017052:Sheet1:218:EXP18102_X1114_A_MSB37288A,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,supplementary_data_2_lfq,Sheet1,218,Sheet1!BU218,LFQ_INTENSITY,330910000,POSITIVE_QUANTIFIED,0.70061099796334014,492,true,true
R3:PXD017052:Sheet1:218:EXP18102_X1115_A_MSB37289A,PXD017052_SEER_BROAD,Q9NQC3,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_2,PXD017052:Sheet1:218:EXP18102_X1115_A_MSB37289A,PXD017052:Sheet1:218:EXP18102_X1115_A_MSB37289A,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,supplementary_data_2_lfq,Sheet1,218,Sheet1!BV218,LFQ_INTENSITY,311480000,POSITIVE_QUANTIFIED,0.66666666666666663,490,true,true
R3:PXD017052:Sheet1:218:EXP18102_X1116_A_MSB37290A,PXD017052_SEER_BROAD,Q9NQC3,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_1,PXD017052:Sheet1:218:EXP18102_X1116_A_MSB37290A,PXD017052:Sheet1:218:EXP18102_X1116_A_MSB37290A,F8W914;Q9NQC3-2;Q9NQC3-5;Q9NQC3;Q9NQC3-4;Q9NQC3-6,supplementary_data_2_lfq,Sheet1,218,Sheet1!BW218,LFQ_INTENSITY,310470000,POSITIVE_QUANTIFIED,0.65652173913043477,461,true,true
R3:PXD017052:Sheet1:256:EXP18102_X1066_A_MSB37240A,PXD017052_SEER_BROAD,O00151,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_2,PXD017052:Sheet1:256:EXP18102_X1066_A_MSB37240A,PXD017052:Sheet1:256:EXP18102_X1066_A_MSB37240A,O00151,supplementary_data_2_lfq,Sheet1,256,Sheet1!BO256,LFQ_INTENSITY,183590000,POSITIVE_QUANTIFIED,0.64102564102564108,508,true,true
R3:PXD017052:Sheet1:256:EXP18102_X1067_A_MSB37241A,PXD017052_SEER_BROAD,O00151,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_1,PXD017052:Sheet1:256:EXP18102_X1067_A_MSB37241A,PXD017052:Sheet1:256:EXP18102_X1067_A_MSB37241A,O00151,supplementary_data_2_lfq,Sheet1,256,Sheet1!BP256,LFQ_INTENSITY,187260000,POSITIVE_QUANTIFIED,0.6313645621181263,492,true,true
R3:PXD017052:Sheet1:256:EXP18102_X1068_A_MSB37242A,PXD017052_SEER_BROAD,O00151,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_3,PXD017052:Sheet1:256:EXP18102_X1068_A_MSB37242A,PXD017052:Sheet1:256:EXP18102_X1068_A_MSB37242A,O00151,supplementary_data_2_lfq,Sheet1,256,Sheet1!BQ256,LFQ_INTENSITY,130650000,POSITIVE_QUANTIFIED,0.57926829268292679,493,true,true
R3:PXD017052:Sheet1:256:EXP18102_X1108_A_MSB37282A,PXD017052_SEER_BROAD,O00151,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_1,PXD017052:Sheet1:256:EXP18102_X1108_A_MSB37282A,PXD017052:Sheet1:256:EXP18102_X1108_A_MSB37282A,O00151,supplementary_data_2_lfq,Sheet1,256,Sheet1!BR256,LFQ_INTENSITY,64296000,POSITIVE_QUANTIFIED,0.41189427312775329,455,true,true
R3:PXD017052:Sheet1:256:EXP18102_X1109_A_MSB37283A,PXD017052_SEER_BROAD,O00151,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_3,PXD017052:Sheet1:256:EXP18102_X1109_A_MSB37283A,PXD017052:Sheet1:256:EXP18102_X1109_A_MSB37283A,O00151,supplementary_data_2_lfq,Sheet1,256,Sheet1!BS256,LFQ_INTENSITY,50548000,POSITIVE_QUANTIFIED,0.37855579868708972,458,true,true
R3:PXD017052:Sheet1:256:EXP18102_X1110_B_MSB37284B,PXD017052_SEER_BROAD,O00151,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_2,PXD017052:Sheet1:256:EXP18102_X1110_B_MSB37284B,PXD017052:Sheet1:256:EXP18102_X1110_B_MSB37284B,O00151,supplementary_data_2_lfq,Sheet1,256,Sheet1!BT256,LFQ_INTENSITY,92570000,POSITIVE_QUANTIFIED,0.46097560975609758,411,true,true
R3:PXD017052:Sheet1:256:EXP18102_X1114_A_MSB37288A,PXD017052_SEER_BROAD,O00151,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_3,PXD017052:Sheet1:256:EXP18102_X1114_A_MSB37288A,PXD017052:Sheet1:256:EXP18102_X1114_A_MSB37288A,O00151,supplementary_data_2_lfq,Sheet1,256,Sheet1!BU256,LFQ_INTENSITY,390660000,POSITIVE_QUANTIFIED,0.71894093686354377,492,true,true
R3:PXD017052:Sheet1:256:EXP18102_X1115_A_MSB37289A,PXD017052_SEER_BROAD,O00151,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_2,PXD017052:Sheet1:256:EXP18102_X1115_A_MSB37289A,PXD017052:Sheet1:256:EXP18102_X1115_A_MSB37289A,O00151,supplementary_data_2_lfq,Sheet1,256,Sheet1!BV256,LFQ_INTENSITY,429730000,POSITIVE_QUANTIFIED,0.70961145194274033,490,true,true
R3:PXD017052:Sheet1:256:EXP18102_X1116_A_MSB37290A,PXD017052_SEER_BROAD,O00151,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_1,PXD017052:Sheet1:256:EXP18102_X1116_A_MSB37290A,PXD017052:Sheet1:256:EXP18102_X1116_A_MSB37290A,O00151,supplementary_data_2_lfq,Sheet1,256,Sheet1!BW256,LFQ_INTENSITY,486740000,POSITIVE_QUANTIFIED,0.72826086956521741,461,true,true
R3:PXD017052:Sheet1:257:EXP18102_X1066_A_MSB37240A,PXD017052_SEER_BROAD,O00187,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_2,PXD017052:Sheet1:257:EXP18102_X1066_A_MSB37240A,PXD017052:Sheet1:257:EXP18102_X1066_A_MSB37240A,O00187;O00187-2,supplementary_data_2_lfq,Sheet1,257,Sheet1!BO257,LFQ_INTENSITY,119730000,POSITIVE_QUANTIFIED,0.57001972386587774,508,true,true
R3:PXD017052:Sheet1:257:EXP18102_X1067_A_MSB37241A,PXD017052_SEER_BROAD,O00187,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_1,PXD017052:Sheet1:257:EXP18102_X1067_A_MSB37241A,PXD017052:Sheet1:257:EXP18102_X1067_A_MSB37241A,O00187;O00187-2,supplementary_data_2_lfq,Sheet1,257,Sheet1!BP257,LFQ_INTENSITY,182290000,POSITIVE_QUANTIFIED,0.6252545824847251,492,true,true
R3:PXD017052:Sheet1:257:EXP18102_X1068_A_MSB37242A,PXD017052_SEER_BROAD,O00187,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_3,PXD017052:Sheet1:257:EXP18102_X1068_A_MSB37242A,PXD017052:Sheet1:257:EXP18102_X1068_A_MSB37242A,O00187;O00187-2,supplementary_data_2_lfq,Sheet1,257,Sheet1!BQ257,LFQ_INTENSITY,179930000,POSITIVE_QUANTIFIED,0.62398373983739841,493,true,true
R3:PXD017052:Sheet1:257:EXP18102_X1108_A_MSB37282A,PXD017052_SEER_BROAD,O00187,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_1,PXD017052:Sheet1:257:EXP18102_X1108_A_MSB37282A,PXD017052:Sheet1:257:EXP18102_X1108_A_MSB37282A,O00187;O00187-2,supplementary_data_2_lfq,Sheet1,257,Sheet1!BR257,LFQ_INTENSITY,1236300000,POSITIVE_QUANTIFIED,0.81057268722466957,455,true,true
R3:PXD017052:Sheet1:257:EXP18102_X1109_A_MSB37283A,PXD017052_SEER_BROAD,O00187,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_3,PXD017052:Sheet1:257:EXP18102_X1109_A_MSB37283A,PXD017052:Sheet1:257:EXP18102_X1109_A_MSB37283A,O00187;O00187-2,supplementary_data_2_lfq,Sheet1,257,Sheet1!BS257,LFQ_INTENSITY,867370000,POSITIVE_QUANTIFIED,0.77680525164113789,458,true,true
R3:PXD017052:Sheet1:257:EXP18102_X1110_B_MSB37284B,PXD017052_SEER_BROAD,O00187,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_2,PXD017052:Sheet1:257:EXP18102_X1110_B_MSB37284B,PXD017052:Sheet1:257:EXP18102_X1110_B_MSB37284B,O00187;O00187-2,supplementary_data_2_lfq,Sheet1,257,Sheet1!BT257,LFQ_INTENSITY,929960000,POSITIVE_QUANTIFIED,0.79024390243902443,411,true,true
R3:PXD017052:Sheet1:257:EXP18102_X1114_A_MSB37288A,PXD017052_SEER_BROAD,O00187,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_3,PXD017052:Sheet1:257:EXP18102_X1114_A_MSB37288A,PXD017052:Sheet1:257:EXP18102_X1114_A_MSB37288A,O00187;O00187-2,supplementary_data_2_lfq,Sheet1,257,Sheet1!BU257,LFQ_INTENSITY,215780000,POSITIVE_QUANTIFIED,0.61507128309572301,492,true,true
R3:PXD017052:Sheet1:257:EXP18102_X1115_A_MSB37289A,PXD017052_SEER_BROAD,O00187,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_2,PXD017052:Sheet1:257:EXP18102_X1115_A_MSB37289A,PXD017052:Sheet1:257:EXP18102_X1115_A_MSB37289A,O00187;O00187-2,supplementary_data_2_lfq,Sheet1,257,Sheet1!BV257,LFQ_INTENSITY,281020000,POSITIVE_QUANTIFIED,0.65235173824130877,490,true,true
R3:PXD017052:Sheet1:257:EXP18102_X1116_A_MSB37290A,PXD017052_SEER_BROAD,O00187,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_1,PXD017052:Sheet1:257:EXP18102_X1116_A_MSB37290A,PXD017052:Sheet1:257:EXP18102_X1116_A_MSB37290A,O00187;O00187-2,supplementary_data_2_lfq,Sheet1,257,Sheet1!BW257,LFQ_INTENSITY,260290000,POSITIVE_QUANTIFIED,0.63260869565217392,461,true,true
R3:PXD017052:Sheet1:259:EXP18102_X1066_A_MSB37240A,PXD017052_SEER_BROAD,O00264,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_2,PXD017052:Sheet1:259:EXP18102_X1066_A_MSB37240A,PXD017052:Sheet1:259:EXP18102_X1066_A_MSB37240A,O00264,supplementary_data_2_lfq,Sheet1,259,Sheet1!BO259,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:259:EXP18102_X1067_A_MSB37241A,PXD017052_SEER_BROAD,O00264,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_1,PXD017052:Sheet1:259:EXP18102_X1067_A_MSB37241A,PXD017052:Sheet1:259:EXP18102_X1067_A_MSB37241A,O00264,supplementary_data_2_lfq,Sheet1,259,Sheet1!BP259,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:259:EXP18102_X1068_A_MSB37242A,PXD017052_SEER_BROAD,O00264,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_3,PXD017052:Sheet1:259:EXP18102_X1068_A_MSB37242A,PXD017052:Sheet1:259:EXP18102_X1068_A_MSB37242A,O00264,supplementary_data_2_lfq,Sheet1,259,Sheet1!BQ259,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:259:EXP18102_X1108_A_MSB37282A,PXD017052_SEER_BROAD,O00264,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_1,PXD017052:Sheet1:259:EXP18102_X1108_A_MSB37282A,PXD017052:Sheet1:259:EXP18102_X1108_A_MSB37282A,O00264,supplementary_data_2_lfq,Sheet1,259,Sheet1!BR259,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:259:EXP18102_X1109_A_MSB37283A,PXD017052_SEER_BROAD,O00264,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_3,PXD017052:Sheet1:259:EXP18102_X1109_A_MSB37283A,PXD017052:Sheet1:259:EXP18102_X1109_A_MSB37283A,O00264,supplementary_data_2_lfq,Sheet1,259,Sheet1!BS259,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:259:EXP18102_X1110_B_MSB37284B,PXD017052_SEER_BROAD,O00264,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_2,PXD017052:Sheet1:259:EXP18102_X1110_B_MSB37284B,PXD017052:Sheet1:259:EXP18102_X1110_B_MSB37284B,O00264,supplementary_data_2_lfq,Sheet1,259,Sheet1!BT259,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:259:EXP18102_X1114_A_MSB37288A,PXD017052_SEER_BROAD,O00264,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_3,PXD017052:Sheet1:259:EXP18102_X1114_A_MSB37288A,PXD017052:Sheet1:259:EXP18102_X1114_A_MSB37288A,O00264,supplementary_data_2_lfq,Sheet1,259,Sheet1!BU259,LFQ_INTENSITY,0,AUTHOR_EXPLICIT_ZERO,,,false,true
R3:PXD017052:Sheet1:259:EXP18102_X1115_A_MSB37289A,PXD017052_SEER_BROAD,O00264,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_2,PXD017052:Sheet1:259:EXP18102_X1115_A_MSB37289A,PXD017052:Sheet1:259:EXP18102_X1115_A_MSB37289A,O00264,supplementary_data_2_lfq,Sheet1,259,Sheet1!BV259,LFQ_INTENSITY,8509800,POSITIVE_QUANTIFIED,0.083844580777096112,490,true,true
R3:PXD017052:Sheet1:259:EXP18102_X1116_A_MSB37290A,PXD017052_SEER_BROAD,O00264,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-011-001:assay_replicate_1,PXD017052:Sheet1:259:EXP18102_X1116_A_MSB37290A,PXD017052:Sheet1:259:EXP18102_X1116_A_MSB37290A,O00264,supplementary_data_2_lfq,Sheet1,259,Sheet1!BW259,LFQ_INTENSITY,14528000,POSITIVE_QUANTIFIED,0.095652173913043481,461,true,true
R3:PXD017052:Sheet1:260:EXP18102_X1066_A_MSB37240A,PXD017052_SEER_BROAD,O00299,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_2,PXD017052:Sheet1:260:EXP18102_X1066_A_MSB37240A,PXD017052:Sheet1:260:EXP18102_X1066_A_MSB37240A,O00299,supplementary_data_2_lfq,Sheet1,260,Sheet1!BO260,LFQ_INTENSITY,77478000,POSITIVE_QUANTIFIED,0.4911242603550296,508,true,true
R3:PXD017052:Sheet1:260:EXP18102_X1067_A_MSB37241A,PXD017052_SEER_BROAD,O00299,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_1,PXD017052:Sheet1:260:EXP18102_X1067_A_MSB37241A,PXD017052:Sheet1:260:EXP18102_X1067_A_MSB37241A,O00299,supplementary_data_2_lfq,Sheet1,260,Sheet1!BP260,LFQ_INTENSITY,82462000,POSITIVE_QUANTIFIED,0.5030549898167006,492,true,true
R3:PXD017052:Sheet1:260:EXP18102_X1068_A_MSB37242A,PXD017052_SEER_BROAD,O00299,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-003-001:assay_replicate_3,PXD017052:Sheet1:260:EXP18102_X1068_A_MSB37242A,PXD017052:Sheet1:260:EXP18102_X1068_A_MSB37242A,O00299,supplementary_data_2_lfq,Sheet1,260,Sheet1!BQ260,LFQ_INTENSITY,28257000,POSITIVE_QUANTIFIED,0.27235772357723576,493,true,true
R3:PXD017052:Sheet1:260:EXP18102_X1108_A_MSB37282A,PXD017052_SEER_BROAD,O00299,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_1,PXD017052:Sheet1:260:EXP18102_X1108_A_MSB37282A,PXD017052:Sheet1:260:EXP18102_X1108_A_MSB37282A,O00299,supplementary_data_2_lfq,Sheet1,260,Sheet1!BR260,LFQ_INTENSITY,419920000,POSITIVE_QUANTIFIED,0.69162995594713661,455,true,true
R3:PXD017052:Sheet1:260:EXP18102_X1109_A_MSB37283A,PXD017052_SEER_BROAD,O00299,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_3,PXD017052:Sheet1:260:EXP18102_X1109_A_MSB37283A,PXD017052:Sheet1:260:EXP18102_X1109_A_MSB37283A,O00299,supplementary_data_2_lfq,Sheet1,260,Sheet1!BS260,LFQ_INTENSITY,535350000,POSITIVE_QUANTIFIED,0.7264770240700219,458,true,true
R3:PXD017052:Sheet1:260:EXP18102_X1110_B_MSB37284B,PXD017052_SEER_BROAD,O00299,"Seer, Inc. / Broad Institute of MIT and Harvard",PXD017052:SP-007-002:assay_replicate_2,PXD017052:Sheet1:260:EXP18102_X1110_B_MSB37284B,PXD017052:Sheet1:260:EXP18102_X1110_B_MSB37284B,O00299,supplementary_data_2_lfq,Sheet1,260,Sheet1!BT260,LFQ_INTENSITY,556610000,POSITIVE_QUANTIFIED,0.73902439024390243,411,true,true
