Entry	Entry Name	Gene Names	RefSeq
Q99733	NP1L4_HUMAN	NAP1L4 NAP2	NP_001356304.1 [Q99733-1];NP_001356305.1 [Q99733-1];NP_001356306.1 [Q99733-1];NP_001356307.1 [Q99733-1];NP_001356308.1 [Q99733-1];NP_001356309.1 [Q99733-2];NP_001356310.1 [Q99733-2];NP_001356311.1 [Q99733-2];NP_001356312.1 [Q99733-2];NP_001356313.1 [Q99733-2];NP_001356314.1 [Q99733-2];NP_001356315.1 [Q99733-2];NP_001356317.1 [Q99733-2];NP_005960.1 [Q99733-1];
Q99943	PLCA_HUMAN	AGPAT1 G15	NP_001358367.1;NP_001358368.1;NP_006402.1;NP_116130.2;
Q96L96	ALPK3_HUMAN	ALPK3 KIAA1330 MAK	NP_065829.4;
Q96LM6	SMIP9_HUMAN	SPMIP9 C2orf51 TEX37 TSC21	NP_689883.1;XP_005264245.3;XP_011530993.1;XP_011530994.1;XP_054196938.1;XP_054196939.1;XP_054196940.1;
Q96P20	NLRP3_HUMAN	NLRP3 C1orf7 CIAS1 NALP3 PYPAF1	NP_001073289.2;NP_001120933.2;NP_001120934.2;NP_001230062.1;NP_004886.3 [Q96P20-1];NP_899632.2;XP_016855670.1 [Q96P20-1];XP_016855671.1 [Q96P20-1];XP_047299489.1 [Q96P20-1];XP_047299490.1 [Q96P20-1];XP_047299491.1 [Q96P20-1];XP_047299495.1 [Q96P20-1];XP_047299502.1 [Q96P20-4];XP_047299513.1 [Q96P20-5];XP_047299518.1 [Q96P20-4];XP_047299527.1 [Q96P20-2];XP_054190045.1 [Q96P20-1];XP_054190046.1 [Q96P20-1];XP_054190047.1 [Q96P20-1];XP_054190048.1 [Q96P20-1];XP_054190049.1 [Q96P20-1];XP_054190050.1 [Q96P20-1];XP_054190051.1 [Q96P20-4];XP_054190052.1 [Q96P20-5];XP_054190053.1 [Q96P20-4];XP_054190055.1 [Q96P20-2];
Q96P70	IPO9_HUMAN	IPO9 IMP9 KIAA1192 RANBP9 HSPC273	NP_060555.2;
Q96PL5	ERMAP_HUMAN	ERMAP RD SC	NP_001017922.1;NP_061008.2;XP_006710376.1;XP_011538872.1;XP_047299547.1;XP_054190060.1;XP_054190061.1;XP_054190062.1;
Q96QC0	PP1RA_HUMAN	PPP1R10 CAT53 FB19 PNUTS	NP_001363124.1;NP_002705.2;XP_011513024.1;XP_054185808.1;XP_054185809.1;XP_054186292.1;XP_054186293.1;XP_054186589.1;XP_054186590.1;XP_054186809.1;XP_054186810.1;XP_054187069.1;XP_054187070.1;XP_054187340.1;XP_054187341.1;XP_054211745.1;XP_054211746.1;
Q96QD9	UIF_HUMAN	FYTTD1 UIF	NP_001011537.2 [Q96QD9-2];NP_115664.2 [Q96QD9-1];
Q96QE3	ATAD5_HUMAN	ATAD5 C17orf41 Elg1 FRAG1	NP_079133.3 [Q96QE3-1];
Q96QI5	HS3S6_HUMAN	HS3ST6 HS3ST5	NP_001009606.3;
Q96T88	UHRF1_HUMAN	UHRF1 ICBP90 NP95 RNF106	NP_001041666.1 [Q96T88-1];NP_001276979.1 [Q96T88-1];NP_001276980.1 [Q96T88-1];NP_001276981.1 [Q96T88-1];NP_037414.3;
Q99436	PSB7_HUMAN	PSMB7 Z	NP_002790.1 [Q99436-1];
Q99456	K1C12_HUMAN	KRT12	NP_000214.1;
Q99460	PSMD1_HUMAN	PSMD1	NP_001177966.1 [Q99460-2];NP_002798.2 [Q99460-1];
Q99613	EIF3C_HUMAN	EIF3C EIF3S8	NP_001032897.1 [Q99613-1];NP_001186071.1 [Q99613-1];NP_001254503.1 [Q99613-1];NP_001273407.1 [Q99613-2];NP_003743.1 [Q99613-1];XP_047290783.1 [Q99613-1];XP_047290784.1 [Q99613-1];XP_054170224.1 [Q99613-1];
Q99661	KIF2C_HUMAN	KIF2C KNSL6	NP_001284584.1;NP_001284585.1 [Q99661-2];NP_001284586.1;NP_006836.2 [Q99661-1];
Q99816	TS101_HUMAN	TSG101	NP_006283.1 [Q99816-1];
Q99878	H2A1J_HUMAN	H2AC14 H2AFE HIST1H2AJ	NP_066544.1;
Q99880	H2B1L_HUMAN	H2BC13 H2BFC HIST1H2BL	NP_003510.1;
Q96MF2	STAC3_HUMAN	STAC3	NP_001273185.1 [Q96MF2-2];NP_001273186.1 [Q96MF2-3];NP_659501.1 [Q96MF2-1];XP_011536428.1 [Q96MF2-1];XP_054227624.1 [Q96MF2-1];
Q96P48	ARAP1_HUMAN	ARAP1 CENTD2 KIAA0782	NP_001035207.1 [Q96P48-6];NP_001128662.1 [Q96P48-7];NP_056057.2 [Q96P48-4];
Q96PM9	Z385A_HUMAN	ZNF385A HZF RZF ZNF385	NP_001124439.1 [Q96PM9-4];NP_001124440.1 [Q96PM9-3];NP_001276930.1 [Q96PM9-2];NP_001276931.1 [Q96PM9-1];NP_001276933.1 [Q96PM9-1];NP_001424338.1 [Q96PM9-1];NP_056296.1 [Q96PM9-1];XP_024304703.1 [Q96PM9-2];XP_047284650.1 [Q96PM9-1];XP_047284651.1 [Q96PM9-1];XP_047284652.1 [Q96PM9-1];XP_047284654.1 [Q96PM9-2];XP_054227695.1 [Q96PM9-1];XP_054227696.1 [Q96PM9-1];XP_054227697.1 [Q96PM9-1];XP_054227701.1 [Q96PM9-2];XP_054227702.1 [Q96PM9-2];
Q96Q91	B3A4_HUMAN	SLC4A9 AE4 SBC5	NP_001245355.1 [Q96Q91-2];NP_001245356.1 [Q96Q91-4];NP_001245357.1 [Q96Q91-1];NP_113655.2 [Q96Q91-3];XP_005268578.3 [Q96Q91-3];XP_016865428.2 [Q96Q91-2];
Q96RD6	PANX2_HUMAN	PANX2	NP_001153772.1 [Q96RD6-1];NP_443071.2 [Q96RD6-3];
Q96RP9	EFGM_HUMAN	GFM1 EFG EFG1 GFM	NP_001295093.1 [Q96RP9-2];NP_001295095.1;NP_079272.4 [Q96RP9-1];
Q96SI9	STRBP_HUMAN	STRBP SPNR	NP_001164608.1 [Q96SI9-2];NP_001363035.1 [Q96SI9-1];NP_001363036.1 [Q96SI9-1];NP_060857.2 [Q96SI9-1];XP_047279518.1 [Q96SI9-1];XP_054219200.1 [Q96SI9-1];XP_054219201.1 [Q96SI9-1];XP_054219202.1 [Q96SI9-1];XP_054219203.1 [Q96SI9-1];
Q96ST2	IWS1_HUMAN	IWS1 IWS1L	NP_060439.2 [Q96ST2-1];
Q96T51	RUFY1_HUMAN	RUFY1 RABIP4 ZFYVE12	NP_001035541.1 [Q96T51-2];NP_001035542.1 [Q96T51-2];NP_079434.3 [Q96T51-1];XP_047273733.1 [Q96T51-2];XP_047273736.1 [Q96T51-3];XP_054187978.1 [Q96T51-2];XP_054187984.1 [Q96T51-3];XP_054209534.1 [Q96T51-2];XP_054209540.1 [Q96T51-3];
Q96T76	MMS19_HUMAN	MMS19 MMS19L	NP_001276332.1 [Q96T76-9];NP_001276333.1;NP_001276334.1 [Q96T76-1];NP_001317057.1 [Q96T76-5];NP_071757.4 [Q96T76-1];
Q99497	PARK7_HUMAN	PARK7	NP_001116849.1;NP_009193.2;XP_005263481.1;XP_054190021.1;
Q99719	SEPT5_HUMAN	SEPTIN5 PNUTL1 SEPT5	NP_001009939.1 [Q99719-2];NP_002679.2 [Q99719-1];
Q99829	CPNE1_HUMAN	CPNE1 CPN1	NP_003906.2;NP_690902.1;NP_690903.1;NP_690904.1;NP_690905.1;
Q99873	ANM1_HUMAN	PRMT1 HMT2 HRMT1L2 IR1B4	NP_001193971.1 [Q99873-5];NP_001527.3 [Q99873-1];NP_938074.2 [Q99873-3];XP_016882224.1 [Q99873-2];XP_054176785.1 [Q99873-2];
Q96N66	MBOA7_HUMAN	MBOAT7 BB1 LENG4 OACT7	NP_001139528.1 [Q96N66-2];NP_001139554.1 [Q96N66-3];NP_001139555.1 [Q96N66-2];NP_077274.3 [Q96N66-1];XP_011525601.1 [Q96N66-1];XP_011525602.1 [Q96N66-1];XP_054178092.1 [Q96N66-1];XP_054178093.1 [Q96N66-1];XP_054185677.1 [Q96N66-1];XP_054185678.1 [Q96N66-1];XP_054186179.1 [Q96N66-1];XP_054186475.1 [Q96N66-1];XP_054186725.1 [Q96N66-1];XP_054186956.1 [Q96N66-1];XP_054187239.1 [Q96N66-1];XP_054187508.1 [Q96N66-1];XP_054187509.1 [Q96N66-1];XP_054189553.1 [Q96N66-1];XP_054189655.1 [Q96N66-1];
Q96Q15	SMG1_HUMAN	SMG1 ATX KIAA0421 LIP	NP_055907.3 [Q96Q15-1];
Q96Q40	CDK15_HUMAN	CDK15 ALS2CR7 PFTK2	NP_001248364.1 [Q96Q40-5];NP_001248365.1 [Q96Q40-3];NP_001353315.1 [Q96Q40-1];NP_631897.1 [Q96Q40-4];
Q96QK1	VPS35_HUMAN	VPS35 MEM3 TCCCTA00141	NP_060676.2;
Q96QV6	H2A1A_HUMAN	H2AC1 H2AFR HIST1H2AA	NP_734466.1;
Q96SN8	CK5P2_HUMAN	CDK5RAP2 CEP215 KIAA1633	NP_001011649.1 [Q96SN8-4];NP_001258968.1;NP_001397922.1 [Q96SN8-2];NP_060719.4 [Q96SN8-1];
Q96T21	SEBP2_HUMAN	SECISBP2 SBP2	NP_001269617.1;NP_001269618.1 [Q96T21-2];NP_001269619.1 [Q96T21-3];NP_076982.3 [Q96T21-1];XP_011517302.1 [Q96T21-3];XP_047279810.1 [Q96T21-3];XP_047279812.1 [Q96T21-1];XP_047279813.1 [Q96T21-1];XP_054219744.1 [Q96T21-3];XP_054219745.1 [Q96T21-3];XP_054219750.1 [Q96T21-1];XP_054219751.1 [Q96T21-1];
Q96T58	MINT_HUMAN	SPEN KIAA0929 MINT SHARP	NP_055816.2;
Q99442	SEC62_HUMAN	SEC62 TLOC1	NP_003253.1;
Q99543	DNJC2_HUMAN	DNAJC2 MPHOSPH11 MPP11 ZRF1	NP_001123359.1 [Q99543-2];NP_055192.1 [Q99543-1];
Q99584	S10AD_HUMAN	S100A13	NP_001019381.1;NP_001019382.1;NP_001019383.1;NP_001019384.1;NP_001424581.1;NP_005970.1;XP_005245491.1;XP_011508164.1;XP_016857524.1;XP_016857525.1;XP_047283357.1;XP_047283360.1;XP_047283362.1;XP_047283363.1;XP_047283364.1;XP_047283365.1;XP_047283366.1;XP_047283369.1;XP_047283373.1;XP_047283375.1;XP_047283389.1;XP_047283391.1;XP_047283395.1;XP_047283400.1;XP_047283401.1;XP_047283402.1;XP_054194090.1;XP_054194091.1;XP_054194092.1;XP_054194093.1;XP_054194095.1;XP_054194096.1;XP_054194097.1;XP_054194098.1;XP_054194099.1;XP_054194100.1;XP_054194101.1;XP_054194102.1;XP_054194103.1;XP_054194104.1;XP_054194105.1;XP_054194106.1;XP_054194107.1;XP_054194108.1;XP_054194109.1;
Q99598	TSNAX_HUMAN	TSNAX TRAX	NP_005990.1;
Q99798	ACON_HUMAN	ACO2	NP_001089.1;XP_054181635.1;
Q99877	H2B1N_HUMAN	H2BC15 H2BFD HIST1H2BN	NP_003511.1;
Q96N16	JKIP1_HUMAN	JAKMIP1 GABABRBP JAMIP1 MARLIN1	NP_001092903.1 [Q96N16-2];NP_001293062.1 [Q96N16-1];NP_001293063.1 [Q96N16-7];NP_653321.1 [Q96N16-1];
Q96P09	BIRC8_HUMAN	BIRC8 ILP2	
Q96P63	SPB12_HUMAN	SERPINB12	NP_001294857.1 [Q96P63-2];NP_536722.1 [Q96P63-1];XP_011524550.1 [Q96P63-2];XP_011524551.1 [Q96P63-2];XP_054175299.1 [Q96P63-2];XP_054175300.1 [Q96P63-2];
Q96Q06	PLIN4_HUMAN	PLIN4 KIAA1881	NP_001354797.1;NP_001380819.1;NP_001380820.1;
Q96QA5	GSDMA_HUMAN	GSDMA GSDM GSDM1 FKSG9	NP_835465.2;XP_006721895.1;
Q96RJ0	TAAR1_HUMAN	TAAR1 TA1 TAR1 TRAR1	NP_612200.1;
Q96RU7	TRIB3_HUMAN	TRIB3 C20orf97 NIPK SKIP3 TRB3	NP_001288117.1;NP_001288119.1;NP_001288122.1;NP_001288125.1;NP_001288130.1;NP_066981.2;
Q96S97	MYADM_HUMAN	MYADM UNQ553/PRO1110	NP_001018654.1;NP_001018655.1;NP_001018656.1;NP_001018657.1;NP_001277117.1;NP_001277118.1;NP_001277119.1;NP_001277120.1;NP_001277121.1;NP_001277122.1;NP_001277123.1;NP_612382.1;
Q96SB4	SRPK1_HUMAN	SRPK1	NP_003128.3 [Q96SB4-2];
Q96TA1	NIBA2_HUMAN	NIBAN2 C9orf88 FAM129B	NP_001030611.1 [Q96TA1-2];NP_073744.2 [Q96TA1-1];
Q99567	NUP88_HUMAN	NUP88	NP_001307582.1;NP_002523.2;
Q99685	MGLL_HUMAN	MGLL	NP_001003794.1 [Q99685-1];NP_001243514.1 [Q99685-2];NP_009214.1;
Q99708	CTIP_HUMAN	RBBP8 CTIP	NP_002885.1 [Q99708-1];NP_976036.1 [Q99708-1];NP_976037.1 [Q99708-3];XP_006722582.1 [Q99708-1];XP_006722583.1 [Q99708-1];XP_006722584.1 [Q99708-1];XP_011524434.1 [Q99708-1];XP_047293683.1 [Q99708-1];XP_047293684.1 [Q99708-1];XP_054174931.1 [Q99708-1];XP_054174932.1 [Q99708-1];XP_054174933.1 [Q99708-1];XP_054174934.1 [Q99708-1];XP_054174935.1 [Q99708-1];
Q99714	HCD2_HUMAN	HSD17B10 ERAB HADH2 MRPP2 SCHAD SDR5C1 XH98G2	NP_001032900.1 [Q99714-2];NP_004484.1 [Q99714-1];
Q99832	TCPH_HUMAN	CCT7 CCTH NIP7-1	NP_001009570.1 [Q99832-2];NP_001159756.1 [Q99832-4];NP_001159757.1 [Q99832-3];NP_006420.1 [Q99832-1];XP_054196171.1 [Q99832-3];
Q99879	H2B1M_HUMAN	H2BC14 H2BFE HIST1H2BM	NP_003512.1;
Q99932	SPAG8_HUMAN	SPAG8	NP_001034681.1 [Q99932-3];NP_758516.1 [Q99932-2];
Q96Q89	KI20B_HUMAN	KIF20B KRMP1 MPHOSPH1	NP_001271188.1 [Q96Q89-1];NP_057279.2 [Q96Q89-3];
Q99466	NOTC4_HUMAN	NOTCH4 INT3	NP_004548.3 [Q99466-1];
Q99735	MGST2_HUMAN	MGST2 GST2	NP_001191295.1 [Q99735-1];NP_001191297.1 [Q99735-2];NP_002404.1 [Q99735-1];XP_016863700.1 [Q99735-1];XP_016863701.1 [Q99735-1];XP_016863702.1 [Q99735-1];XP_047271657.1 [Q99735-1];XP_054206024.1 [Q99735-1];XP_054206025.1 [Q99735-1];XP_054206026.1 [Q99735-1];
Q96NZ9	PRAP1_HUMAN	PRAP1 UPA UNQ608/PRO1195	NP_001138673.1 [Q96NZ9-4];NP_660203.3 [Q96NZ9-1];
Q96QU1	PCD15_HUMAN	PCDH15 USH1F	NP_001341340.1 [Q96QU1-4];NP_001341349.1 [Q96QU1-6];NP_001341359.1 [Q96QU1-3];NP_001371069.1 [Q96QU1-7];NP_149045.3 [Q96QU1-1];
Q99808	S29A1_HUMAN	SLC29A1 ENT1	NP_001071643.1 [Q99808-1];NP_001071645.1 [Q99808-1];NP_001291391.1 [Q99808-2];NP_001291394.1;NP_001291395.1;NP_001359256.1 [Q99808-1];XP_005248933.2 [Q99808-1];XP_005248935.1 [Q99808-1];XP_005248937.1 [Q99808-1];XP_005248938.1 [Q99808-1];XP_005248939.1 [Q99808-1];XP_054210419.1 [Q99808-1];XP_054210420.1 [Q99808-1];XP_054210421.1 [Q99808-1];XP_054210422.1 [Q99808-1];XP_054210423.1 [Q99808-1];
Q99941	ATF6B_HUMAN	ATF6B CREBL1 G13	NP_001129625.1 [Q99941-2];NP_004372.3 [Q99941-1];
Q96M96	FGD4_HUMAN	FGD4 FRABP ZFYVE6	NP_001317302.1;NP_001317303.1;NP_001372047.1 [Q96M96-1];NP_640334.2 [Q96M96-1];XP_047284249.1 [Q96M96-1];XP_054227064.1 [Q96M96-1];
Q99471	PFD5_HUMAN	PFDN5 MM1 PFD5	NP_002615.2 [Q99471-1];NP_665904.1 [Q99471-3];
Q99623	PHB2_HUMAN	PHB2 BAP REA	NP_001138303.1 [Q99623-1];NP_001254629.1 [Q99623-2];
Q96PN6	ADCYA_HUMAN	ADCY10 SAC	NP_001161221.1 [Q96PN6-4];NP_001284701.1 [Q96PN6-2];NP_060887.2 [Q96PN6-1];XP_011508062.1 [Q96PN6-1];
Q99439	CNN2_HUMAN	CNN2	NP_001290428.1;NP_001290430.1;NP_004359.1 [Q99439-1];NP_958434.1 [Q99439-2];
Q99538	LGMN_HUMAN	LGMN PRSC1	NP_001008530.1 [Q99538-1];NP_001350625.1 [Q99538-2];NP_001350628.1 [Q99538-3];NP_001424326.1 [Q99538-2];NP_001424332.1 [Q99538-3];NP_005597.3 [Q99538-1];XP_016876952.1 [Q99538-1];XP_047287551.1 [Q99538-1];XP_047287553.1 [Q99538-1];XP_054232381.1 [Q99538-1];XP_054232382.1 [Q99538-1];XP_054232383.1 [Q99538-1];
Q96RT1	ERBIN_HUMAN	ERBIN ERBB2IP KIAA1225 LAP2	NP_001006600.1 [Q96RT1-7];NP_001240626.1 [Q96RT1-1];NP_001240627.1 [Q96RT1-4];NP_001240628.1 [Q96RT1-8];NP_001240630.1 [Q96RT1-9];NP_061165.1 [Q96RT1-2];XP_047273334.1 [Q96RT1-8];XP_047273336.1 [Q96RT1-1];XP_047273338.1 [Q96RT1-2];XP_047273339.1 [Q96RT1-9];XP_047273340.1 [Q96RT1-7];XP_054208902.1 [Q96RT1-1];XP_054208904.1 [Q96RT1-2];XP_054208905.1 [Q96RT1-9];XP_054208906.1 [Q96RT1-7];
Q96M27	PRRC1_HUMAN	PRRC1	NP_001273737.1 [Q96M27-3];NP_570721.1 [Q96M27-1];
Q96QR1	SG3A1_HUMAN	SCGB3A1 HIN1 PNSP2 UGRP2 UNQ629/PRO1245	NP_443095.2;
Q96RV3	PCX1_HUMAN	PCNX1 KIAA0805 KIAA0995 PCNX PCNXL1	NP_001295089.1 [Q96RV3-4];NP_055797.2 [Q96RV3-1];
Q99805	TM9S2_HUMAN	TM9SF2	NP_004791.1;
Q96QS1	TSN32_HUMAN	TSPAN32 PHEMX TSSC6	NP_620591.3 [Q96QS1-1];
Q96M53	TBATA_HUMAN	TBATA C10orf27 SPATIAL	NP_001305171.1 [Q96M53-1];NP_689923.3 [Q96M53-1];XP_047280678.1 [Q96M53-2];XP_054221006.1 [Q96M53-2];
Q96M43	NBPF4_HUMAN	NBPF4	NP_001137461.1;
Q96M93	ADAD1_HUMAN	ADAD1 TENR	NP_001152757.1 [Q96M93-2];NP_001152767.1 [Q96M93-3];NP_640336.1 [Q96M93-1];XP_005262798.1 [Q96M93-1];XP_005262800.1 [Q96M93-1];XP_005262801.1 [Q96M93-2];XP_011529905.1 [Q96M93-1];XP_024309656.1 [Q96M93-1];XP_024309657.1 [Q96M93-2];XP_054204874.1 [Q96M93-1];XP_054204875.1 [Q96M93-1];XP_054204876.1 [Q96M93-1];XP_054204877.1 [Q96M93-1];XP_054204878.1 [Q96M93-2];XP_054204879.1 [Q96M93-2];
Q96MC4	C295L_HUMAN	CEP295NL KIAA1731NL	NP_001230469.1;NP_001230470.1;XP_047291039.1;XP_047291040.1;XP_054170620.1;
Q96M42	CU129_HUMAN	LINC00479 C21orf129 PRED76	
Q96SA9	Q96SA9_HUMAN		
